market,timeframe,period_yrs,algorithm,model_id,is_valid_sample,exclusion_reason,win_rate,total_trades,net_profit_pct,cagr,sharpe_ratio,sortino_ratio,profit_factor,has_zero_losses,recovery_factor,expectancy,avg_win,avg_loss,risk_reward,max_drawdown_pct,avg_holding_bars,exposure_pct,max_consec_wins,max_consec_losses,robustness_score
NQ1!,3h,1,AlgorithmA,0,False,"insufficient_trades (n=3, min=10) div_by_zero_guard",1.0,3,5.49188644809059,29.754208711287415,0.0,0.0,inf (no losses),True,0.0,1.8306288160301964,1.8306288160301964,0.0,0.0,0.0,33.333333333333336,5.0352467270896275,3,0,0.0
NQ1!,3h,1,AlgorithmA,1,True,,0.75,12,18.262592729969747,30.80020089220414,1.7247872578000913,9.468730716106924,4.087386366875563,False,7.522940119862243,1.521882727497479,2.6864244696188413,-1.9717424988666066,1.3624621222918545,-2.42758714531735,38.0,22.9607250755287,4,1,75.97
NQ1!,3h,1,AlgorithmA,2,True,,0.6666666666666666,12,8.265350003380082,3.8467236378203777,2.4518287880370533,7.308072988529128,3.053309187641253,False,4.998959640780443,0.6887791669483401,1.5363412665935243,-1.0063450323420282,1.5266545938206264,-1.6534140295819004,11.416666666666666,6.89828801611279,4,2,79.47
NQ1!,3h,1,AlgorithmA,3,True,,0.75,12,18.262592729969747,30.80020089220414,1.7247872578000913,9.468730716106924,4.087386366875563,False,7.522940119862243,1.521882727497479,2.6864244696188413,-1.9717424988666066,1.3624621222918545,-2.42758714531735,38.0,22.9607250755287,4,1,75.97
NQ1!,3h,1,AlgorithmB,0,False,"insufficient_trades (n=6, min=10)",0.3333333333333333,6,-4.134491608150286,-0.7858742747921524,-1.2176667985835627,-5.583575580328062,0.5189474387330013,False,-0.5900343946348393,-0.6890819346917145,2.2300929287868554,-2.1486693664309993,1.0378948774660026,-7.007204403243376,15.333333333333334,4.632426988922457,2,3,0.0
NQ1!,3h,1,AlgorithmB,1,True,,0.2222222222222222,18,-12.039702961400952,-0.8034738584659369,-2.157329013400128,-6.943936848048584,0.3829818079120204,False,-1.0429189527889804,-0.6688723867444974,1.868254156039361,-1.3937656846827426,1.3404363276920714,-11.544236423361857,11.055555555555555,10.020140986908359,2,5,30.26
NQ1!,3h,1,AlgorithmB,2,True,,0.36,75,-9.731112697086859,-0.2857629645458907,-0.7606366682475177,-2.9115741148026224,0.7704409374211205,False,-1.008243672765854,-0.12974816929449146,1.209605203521347,-0.8831344415034005,1.3696727776375477,-9.651548489654378,6.573333333333333,24.823766364551865,3,8,37.21
NQ1!,3h,1,AlgorithmB,3,True,,0.3125,16,-12.615024471376472,-0.8553595776465635,-1.1621669435549675,-3.38739433943398,0.4698078027563221,False,-1.031597495474189,-0.7884390294610293,2.2356560354624433,-2.163027695335335,1.0335771660639086,-12.228630378341302,23.125,18.63041289023162,2,4,32.32
NQ1!,3h,1,AlgorithmC,0,True,,0.6,15,1.197690885879112,0.19297301649124265,0.4328981383996542,2.8241517943325904,1.1812228146170787,False,0.29730344454281205,0.07984605905860748,0.8674035405584211,-1.101490163191113,0.7874818764113857,-4.028513318171943,7.8,5.8912386706948645,5,4,52.73
NQ1!,3h,1,AlgorithmC,1,True,,0.4594594594594595,37,-4.149562555123144,-0.2528265765364359,-0.475639123947396,-1.8375133856102308,0.8144795217852444,False,-0.589007193767835,-0.1121503393276525,1.071622217233655,-1.118357012404764,0.9582112021002874,-7.045011672232223,10.378378378378379,19.335347432024168,4,5,42.0
NQ1!,3h,1,AlgorithmC,2,True,,0.3956043956043956,91,-15.495168194265133,-0.348375082476965,-4.445232131216051,-6.893869130093588,0.4265359315754242,False,-0.9152611420682879,-0.17027657356335313,0.32014240611329964,-0.4912780875335258,0.6516521176846758,-16.92977826989298,1.3076923076923077,5.991943605236657,3,11,30.16
NQ1!,3h,1,AlgorithmC,3,False,"insufficient_trades (n=4, min=10)",0.5,4,-1.8051978579765382,-0.6019406078080725,0.0,0.0,0.35340381213585514,False,-0.7468133560605669,-0.4512994644941346,0.49332474938935933,-1.3959236783776285,0.35340381213585514,-2.4172008217674885,11.75,2.3665659617321246,1,1,0.0
NQ1!,3h,2,AlgorithmA,0,True,,0.8181818181818182,11,9.53525193499037,6.2264853479279925,3.190534885600385,11.30332924592003,4.2796635253953434,False,5.604822731004206,0.8668410849991246,1.3825154655737142,-1.4536936275865298,0.951036338976743,-1.7012584327144198,12.090909090909092,3.335005015045135,5,1,86.72
